Time,Label,Total,WFM,Sector
2020 MAY,2020 Qtr2,10204,6132, Business
2020 JUN,2020 Qtr2,10611,5853, Business
2020 JUL,2020 Qtr3,10393,5177, Business
2020 AUG,2020 Qtr3,10894,5066, Business
2020 SEP,2020 Qtr3,10639,4837, Business
2020 OCT,2020 Qtr4,10460,4420, Business
2020 NOV,2020 Qtr4,10344,4328, Business
2020 DEC,2020 Qtr4,10722,4855, Business
