Time,Label,Total,WFM,Sector
2020 MAY,2020 Qtr2,124892,42416,Non Financial Corporations
2020 JUN,2020 Qtr2,129847,38646,Non Financial Corporations
2020 JUL,2020 Qtr3,131828,32890,Non Financial Corporations
2020 AUG,2020 Qtr3,134071,30650,Non Financial Corporations
2020 SEP,2020 Qtr3,134848,28567,Non Financial Corporations
2020 OCT,2020 Qtr4,137353,27450,Non Financial Corporations
2020 NOV,2020 Qtr4,137419,28311,Non Financial Corporations
2020 DEC,2020 Qtr4,136501,30539,Non Financial Corporations
