Time,Label,Total,WFM,Sector
2020 MAY,2020 Qtr2,5420,1531,Non Durable Goods
2020 JUN,2020 Qtr2,5337,1292,Non Durable Goods
2020 JUL,2020 Qtr3,5292,1092,Non Durable Goods
2020 AUG,2020 Qtr3,5319,1036,Non Durable Goods
2020 SEP,2020 Qtr3,5396,980,Non Durable Goods
2020 OCT,2020 Qtr4,5367,909,Non Durable Goods
2020 NOV,2020 Qtr4,5493,1005,Non Durable Goods
2020 DEC,2020 Qtr4,5408,940,Non Durable Goods
