Time,Label,Total,WFM,Sector
2020 MAY,2020 Qtr2,13915,4221,Manufacturing
2020 JUN,2020 Qtr2,14203,3732,Manufacturing
2020 JUL,2020 Qtr3,14145,3349,Manufacturing
2020 AUG,2020 Qtr3,14371,3184,Manufacturing
2020 SEP,2020 Qtr3,14442,2884,Manufacturing
2020 OCT,2020 Qtr4,14580,2691,Manufacturing
2020 NOV,2020 Qtr4,14649,2867,Manufacturing
2020 DEC,2020 Qtr4,14819,2990,Manufacturing
